dataid,local_15min,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
661,43104.21875,0,,,,,0.003,,,,,,,,0.002,,,-0.001,,,,0,0,0,,,0.33,,,,0.692,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.001,,,,,-0.005,,,,,,,,,,121.157,121.825
661,43104.2291666667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.199,,,,0.562,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.005,,,,,,,,,,121.86,122.401
661,43104.2395833333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.15,,,,0.513,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.005,,,,,,,,,,121.69,122.212
661,43104.25,0,,,,,0.003,,,,,,,,0.002,,,-0.001,,,,0,0,0,,,0.331,,,,0.694,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.001,,,,,-0.005,,,,,,,,,,121.152,122.065
661,43104.2604166667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.074,,,,0.454,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.02,,,,,-0.005,,,,,,,,,,121.604,122.077
661,43104.2708333333,0,,,,,0.003,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.267,,,,0.809,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.14,,,,,-0.004,,,,,,,,,,121.538,122.02
661,43104.28125,0,,,,,0.003,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.298,,,,0.88,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.129,,,,,-0.004,,,,,,,,,,121.518,121.883
661,43104.2916666667,0,,,,,0.003,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.471,,,,1.01,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.093,,,,,-0.004,,,,,,,,,,121.407,121.997
661,43104.3020833333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.087,,,,0.55,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.001,,,,,,,,,,121.795,122.052
661,43104.3125,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.01,,,,0.461,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.003,,,,,0.051,,,,,,,,,,122.001,122.258
661,43104.3229166667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.137,,,,0.488,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,0.21,,,,,,,,,,122.054,122.385
661,43104.3333333333,0,,,,,0.056,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.016,,,,-0.243,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,0.854,,,,,,,,,,122.318,122.62
661,43104.34375,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.011,,,,-0.912,,,,,,,,,0.132,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.004,,,,,1.613,,,,,,,,,,122.539,122.885
661,43104.3541666667,0,,,,,0.003,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.462,,,,-1.05,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.053,,,,,2.131,,,,,,,,,,122.574,123.268
661,43104.3645833333,0,,,,,0.003,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.477,,,,-0.999,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.138,,,,,2.064,,,,,,,,,,122.938,123.559
661,43104.375,0,,,,,0.003,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.252,,,,-1.936,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.128,,,,,2.738,,,,,,,,,,123.222,123.736
